Title,Artist,Nationality,Born Date,Death Date,Gender,Submission Date,Department,Actual Age,Submission Age
Dress MacLeod from Tartan Sets,Sarah Charlesworth,American,1947,2013,Female,1986,Prints & Illustrated Books,66,39
"Duplicate of plate from folio 11 verso (supplementary suite, plate 4) from ARDICIA",Pablo Palazuelo,Spanish,1916,2007,Male,1978,Prints & Illustrated Books,91,62
Tailpiece (page 55) from SAGESSE,Maurice Denis,French,1870,1943,Male,1900,Prints & Illustrated Books,73,30
"Headpiece (page 129) from LIVRET DE FOLASTRIES, À JANOT PARISIEN",Aristide Maillol,French,1861,1944,Male,1934,Prints & Illustrated Books,83,73
97 rue du Bac,Eugène Atget,French,1857,1927,Male,1903,Photography,70,46
Pictorial ornament (folio 11) from WOODCUTS,Antonio Frasconi,American,1919,2013,Male,1957,Prints & Illustrated Books,94,38
Rue de l'Hôtel-de-Ville,Eugène Atget,French,1857,1927,Male,1924,Photography,70,67
Los Angeles Airport,Garry Winogrand,American,1928,1984,Male,1980,Photography,56,52
Why Defy from Disasters of Peace,Diane Victor,South African,1964,,Female,2001,Prints & Illustrated Books,-,37
STILL WATER AND FISH,David Brown Milne,Canadian,1882,1953,Male,1941,Prints & Illustrated Books,71,59
In-text plate (folio 11) from LA MÉTROMANIE,Jean Dubuffet,French,1901,1985,Male,1950,Prints & Illustrated Books,84,49
Black Bathroom,Jim Dine,American,1935,,Male,1963,Prints & Illustrated Books,-,28
In-text plate (page 108) from LYSISTRATA,František Kupka,Czech,1871,1957,Male,1910,Prints & Illustrated Books,86,39
Transcendence. Designs for the Ballet,Franklin Chenault Watkins,American,1894,1972,Male,1934,Drawings,78,40
Untitled,Christopher Wool,American,1955,,Male,1997,Prints & Illustrated Books,-,42
Isadora Duncan,Abraham Walkowitz,American,1878,1965,Male,1932,Drawings,87,54
L'Avenir de la Propriété,Pierre Alechinsky,Belgian,1927,,Male,1972,Prints & Illustrated Books,-,45
Arundel Castle from Black Series I,Frank Stella,American,1936,,Male,1967,Prints & Illustrated Books,-,31
"Block fragments from the Samuel Freeman House, Los Angeles, CA",Frank Lloyd Wright,American,1867,1959,Male,1924,Architecture & Design,92,57
Plate (folio 35) from ACORDE,Vicente Rojo,Spanish,1932,,Male,1979,Prints & Illustrated Books,-,47
"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,American,1886,1969,Male,1926,Architecture & Design,83,40
